studytime,Score
57,58
63,73
32,65
28,26
29,49
31,67
25,65
35,31
20,31
36,28
21,50
32,50
27,78
65,65
26,38
45,37
70,62
40,45
57,32
38,25
40,30
31,63
62,76
48,61
49,35
34,45
70,64
24,75
43,67
43,52
61,41
69,51
75,61
50,46
52,67
42,51
33,31
61,72
29,74
27,44
42,24
77,43
21,45
20,59
37,40
28,34
44,73
33,39
71,78
67,60
62,74
77,52
28,44
50,74
27,27
23,66
26,69
41,39
69,37
77,62
23,36
24,59
44,77
69,62
63,64
32,63
46,63
72,60
36,55
65,55
71,31
61,66
38,49
35,51
20,77
24,72
45,55
67,65
54,49
43,34
27,69
46,57
45,32
60,35
42,41
29,79
23,46
59,76
43,63
56,41
47,26
57,29
77,34
39,40
58,52
28,44
52,38
54,57
30,63
43,62
35,72
67,31
43,27
45,20
27,28
71,39
48,21
30,28
66,37
52,56
44,70
43,73
75,23
21,47
69,55
33,70
23,58
20,66
76,72
33,79
26,22
72,62
41,46
26,61
22,41
32,63
47,50
41,64
31,27
27,49
33,29
28,26
31,58
32,20
63,67
40,49
50,55
56,44
59,38
27,36
65,46
24,48
77,30
68,21
38,64
52,60
33,32
30,40
43,42
37,61
27,76
77,33
44,78
30,21
48,20
40,33
52,43
32,42
21,44
50,68
61,33
44,58
38,56
71,45
53,49
22,43
64,48
48,62
59,68
54,58
30,32
74,39
52,69
61,50
38,70
42,66
26,72
22,61
27,31
59,77
68,32
74,40
35,41
25,61
37,78
62,68
40,79
74,71
68,46
42,41
57,27
33,21
69,31
70,47
53,70
73,57
40,57
30,50
52,20
75,30
76,68
45,37
41,57
59,31
52,22
77,66
39,73
45,55
69,61
34,21
33,20
40,44
72,57
63,39
26,78
33,48
76,37
79,76
35,21
44,57
79,26
29,51
22,49
27,57
73,33
25,41
56,62
57,53
76,63
41,79
60,70
33,43
47,26
69,76
69,28
67,23
33,79
60,30
34,54
65,21
43,58
36,31
48,29
62,25
65,48
23,79
72,44
22,75
34,64
66,46
20,48
49,31
31,32
55,78
73,47
49,61
53,34
22,74
40,66
39,77
68,75
74,36
52,68
48,29
75,51
38,58
51,47
48,21
50,22
30,74
28,79
65,53
55,24
52,39
28,61
40,73
33,33
70,45
35,34
61,59
20,38
64,79
39,76
44,48
69,79
62,64
40,64
64,61
35,56
50,72
47,65
34,43
71,72
39,43
79,43
46,55
63,53
42,57
27,67
55,26
73,29
67,62
66,27
71,63
54,75
56,59
56,36
52,32
39,67
23,37
44,59
39,36
57,38
50,63
58,43
67,57
59,67
25,46
35,32
69,44
43,38
52,71
62,56
30,77
22,52
44,70
54,44
50,29
37,28
24,36
20,56
72,42
34,66
37,33
59,77
55,56
37,71
48,64
42,79
58,65
61,30
30,32
33,24
26,29
45,39
58,31
68,63
68,21
70,22
64,27
61,56
74,76
20,25
42,39
75,41
36,43
39,38
29,72
68,23
48,76
71,71
67,64
30,78
79,68
24,54
43,28
34,67
41,63
66,46
23,63
76,78
44,29
36,78
66,75
74,37
35,69
27,61
34,58
33,73
35,46
45,44
73,46
40,78
77,63
78,58
41,77
70,42
66,45
49,58
64,32
57,44
42,51
47,21
74,27
32,52
32,44
76,79
79,65
46,38
32,70
27,63
43,43
59,58
63,42
32,44
70,71
58,22
47,64
68,73
25,37
54,34
53,39
63,49
46,53
76,39
25,29
29,38
72,52
45,78
47,64
63,67
21,57
38,27
50,53
52,64
46,77
40,55
50,33
59,73
20,24
42,26
54,34
72,47
23,63
26,25
32,44
59,45
58,52
39,31
67,69
68,53
26,29
33,60
56,63
43,60
42,37
22,26
78,54
48,36
77,66
62,33
51,51
73,55
29,42
61,30
77,60
44,43
65,53
74,53
49,26
72,23
32,32
38,60
62,79
31,32
61,66
56,25
68,52
36,23
50,46
71,68
62,42
40,67
77,29
55,62
61,52
37,50
22,60
41,78
49,39
56,32
65,53
66,54
36,63
47,48
28,26
48,28
22,20
55,37
33,20
61,39
77,48
56,41
56,48
60,53
38,65
53,67
58,24
71,77
66,35
60,20
45,66
59,22
68,27
57,25
22,72
54,71
48,37
34,72
31,27
78,22
62,71
46,56
60,46
41,54
78,56
36,58
48,39
57,43
61,50
65,45
60,43
62,40
31,72
42,47
26,62
52,61
34,20
56,70
43,21
31,77
55,79
79,48
52,72
66,64
47,57
69,70
58,38
78,57
20,21
42,47
53,53
26,76
56,69
38,27
47,32
48,31
57,55
72,53
58,43
70,25
50,68
77,23
70,65
66,42
27,75
41,75
36,67
59,67
49,26
31,52
79,74
78,23
34,34
60,31
50,36
28,23
60,28
68,49
50,61
43,44
22,77
48,72
20,35
59,45
32,39
37,59
78,27
53,74
30,56
48,77
61,29
31,50
25,35
37,52
25,78
77,75
62,34
42,30
72,40
77,67
76,66
34,23
43,60
78,43
73,23
37,47
30,23
28,48
68,62
73,41
39,42
32,69
45,71
33,34
36,49
24,62
44,75
74,78
47,53
70,53
24,54
23,29
78,32
32,68
22,54
32,20
52,75
52,21
35,67
56,45
78,28
30,54
32,27
38,44
50,24
79,53
25,27
36,60
51,41
52,32
63,77
64,43
51,52
63,40
55,24
64,55
44,55
35,51
41,45
39,57
33,29
53,77
24,60
59,24
23,74
54,28
54,40
62,48
34,58
38,30
58,69
58,53
78,21
68,45
78,71
37,51
25,51
78,63
58,61
47,57
73,64
28,68
60,36
25,79
25,70
27,37
34,76
57,58
61,37
34,32
53,66
47,60
71,71
33,40
50,78
63,73
66,36
29,66
23,59
23,48
23,27
74,39
53,30
55,26
36,54
48,76
57,32
20,33
57,68
49,67
38,37
34,44
59,32
26,42
48,71
72,64
30,42
52,56
66,61
79,38
49,35
38,50
56,30
49,47
76,54
59,27
48,51
74,79
49,35
75,20
59,44
46,59
47,29
62,53
32,69
37,24
27,34
47,73
27,26
39,26
76,72
71,36
52,21
32,53
58,24
71,54
52,24
50,30
42,29
25,35
47,58
51,64
61,50
42,77
32,26
72,52
65,71
42,20
58,28
38,40
49,40
49,57
38,46
72,78
78,55
51,55
69,46
54,65
39,71
77,61
49,24
65,51
63,41
71,61
42,51
35,32
27,66
68,33
48,22
39,43
47,20
63,69
39,43
35,29
26,49
44,51
78,61
42,66
31,63
57,37
21,21
49,41
35,52
71,28
54,61
42,35
65,52
71,28
62,39
42,36
65,52
59,47
38,70
60,72
64,44
36,52
37,60
63,26
44,79
58,69
20,37
68,58
53,40
38,70
75,37
27,61
72,37
34,40
56,66
46,34
52,32
21,59
68,75
44,69
73,32
42,50
54,69
50,49
41,52
24,64
23,20
68,72
74,61
38,54
53,75
31,54
31,68
77,65
72,49
32,46
24,61
65,45
20,20
45,54
60,70
27,50
27,39
74,23
53,29
78,26
27,41
54,69
24,21
25,52
74,73
59,68
70,33
32,23
65,49
52,45
